Source,Group,Model,k,Recall,MRR,nDCG,Hits,Total
BM25,text,BM25,5,0.7181571815718157,0.5862691960252935,0.6191032658964941,,369
BM25,hybrid,BM25,5,0.7025641025641025,0.6285470085470085,0.6471322128867171,,195
Dense/Hybrid,RAG (Question),Text Only (BGE),5,0.6212338593974175,0.5395504543280725,0.4829072828033733,433.0,697
BM25,overall,BM25,5,0.5775862068965517,0.4869252873563218,0.5095400669952819,,696
Dense/Hybrid,Vision (Semantic),SigLIP,5,0.0396341463414634,0.0236280487804878,0.0169248985828119,13.0,328
Dense/Hybrid,Vision (Semantic),OpenAI CLIP,5,0.0,0.0,0.0,0.0,328
BM25,image,BM25,5,0.0,0.0,0.0,,132
BM25,text,BM25,10,0.7886178861788617,0.5959704477997161,0.6421865629717007,,369
BM25,hybrid,BM25,10,0.7333333333333333,0.6325763125763125,0.6570220907011253,,195
Dense/Hybrid,RAG (Question),BGE + OpenAI CLIP,10,0.6642754662840746,0.545379289927353,0.4948753763980895,463.0,697
Dense/Hybrid,RAG (Question),BGE + SigLIP,10,0.6255380200860832,0.5215965247887769,0.4702469434717702,436.0,697
BM25,overall,BM25,10,0.6235632183908046,0.4931975232621784,0.524549065263329,,696
BM25,image,BM25,10,0.0,0.0,0.0,,132
