experiment,method,item_type,miss_count
Vis: CLIP (Answer),single,hybrid,195
Vis: SigLIP (Answer),single,hybrid,188
Hybrid: BGE + CLIP,hybrid,image,133
Text Only (BGE),single,image,133
Vis: CLIP (Answer),single,image,133
Hybrid: BGE + SigLIP,hybrid,image,133
Vis: SigLIP (Answer),single,image,127
Hybrid: BGE + SigLIP,hybrid,text,84
Text Only (BGE),single,text,84
Hybrid: BGE + CLIP,hybrid,text,65
Text Only (BGE),single,hybrid,47
Hybrid: BGE + SigLIP,hybrid,hybrid,44
Hybrid: BGE + CLIP,hybrid,hybrid,36
Hybrid: BGE + Jina,runtime_error,,1
Vis: Jina (Answer),runtime_error,,1
